,user,controller,mode,event_start,event_end
event12,0.0,1.0,0.0,2189.0,2195.0
event13,1.0,1.0,0.0,2300.0,2329.0
event10,1.0,1.0,1.0,1037.0,1848.0
event9,0.0,1.0,0.0,177.0,183.0
event3,0.0,1.0,0.0,313.0,314.0
event4,1.0,1.0,0.0,962.0,966.0
event5,1.0,1.0,0.0,1014.0,1019.0
event6,1.0,1.0,0.0,1052.0,1056.0
event7,1.0,1.0,0.0,3926.0,3927.0
event8,1.0,1.0,0.0,3927.0,3929.0
event2,0.0,1.0,0.0,244.0,338.0
event1,0.0,1.0,1.0,0.0,64.0
