,logname,size MB,duration s
0,5757d47fcf913b9b04694229.log,1.930672,115.98062515258789
1,575ce9d988bc9002549dfb5e.log,0.988887,57.20421648025513
2,575eaeb288bc9002549dfb5f.log,0.682621,0.02995133399963379
3,575ec43488bc9002549dfb60.log,3.013689,168.45192885398865
4,575ed0b988bc9002549dfb61.log,0.152418,10.664026737213135
5,575ed0f588bc9002549dfb64.log,0.182343,8.947071075439453
6,575ed3b888bc9002549dfb65.log,1.178161,109.52526140213013
7,575ed4c688bc9002549dfb67.log,1.71195,137.92113327980042
8,575ed63888bc9002549dfb68.log,1.111317,106.6519148349762
9,575ed70388bc9002549dfb69.log,0.970773,97.21908140182495
10,575ed83488bc9002549dfb6a.log,0.228064,12.989664316177368
11,575ed8a988bc9002549dfb6b.log,2.21449,194.15374064445496
12,575ed92d88bc9002549dfb6c.log,3.027028,126.48136687278748
13,575ed9da88bc9002549dfb6d.log,2.538405,84.93670773506165
14,575edf5e88bc9002549dfb6e.log,16.991659,670.8315184116364
15,575edfbe88bc9002549dfb6f.log,4.106321,355.42985820770264
16,575ee03288bc9002549dfb70.log,3.709198,279.9896583557129
17,575ee12f88bc9002549dfb71.log,3.976721,313.01577734947205
18,575ee14588bc9002549dfb72.log,18.509972,594.5557997226715
19,575ee54488bc9002549dfb73.log,12.841252,514.5993545055389
20,575f13e888bc9002549dfb74.log,2.0083,145.6547167301178
21,575f160088bc9002549dfb7a.log,2.713457,189.28886771202087
22,575f1bbd88bc9002549dfb7b.log,2.761676,174.43249583244324
23,575fafcd88bc9002549dfb7d.log,4.09714,363.838858127594
24,575fb08488bc9002549dfb7e.log,3.742655,205.03792333602905
25,5760298adafe657a4f640516.log,3.49102,159.2230257987976
26,57603ef6dafe657a4f640517.log,0.457993,7.840926647186279
27,5760d88400a4842377dc1b87.log,1.894006,62.852938413619995
28,576131490f0442ff728a537e.log,1.875202,103.83900141716003
29,576155840f0442ff728a537f.log,2.054708,35.65424942970276
30,5761af750f0442ff728a5381.log,1.445346,158.00108432769775
31,5761b19c0f0442ff728a5382.log,1.712079,126.50230431556702
32,5761b1d10f0442ff728a5383.log,1.471421,113.83521342277527
33,5761bd820f0442ff728a5384.log,0.45788,5.587082386016846
34,5761bdc40f0442ff728a5385.log,0.839761,12.715116262435913
35,5761be5f0f0442ff728a5386.log,7.662034,245.64011025428772
