,ATT_DesPitch,ATT_DesRoll,ATT_DesYaw,ATT_ErrRP,ATT_ErrYaw,ATT_Pitch,ATT_Roll,ATT_TimeMS,ATT_Yaw,BARO_Alt,BARO_CRt,BARO_Press,BARO_Temp,CTUN_Alt,CTUN_AngBst,CTUN_BarAlt,CTUN_CRt,CTUN_DAlt,CTUN_DCRt,CTUN_DSAlt,CTUN_SAlt,CTUN_ThrIn,CTUN_ThrOut,CTUN_TimeMS,CURR_Curr,CURR_CurrTot,CURR_ThrInt,CURR_ThrOut,CURR_TimeMS,CURR_Vcc,CURR_Volt,DU32_Id,DU32_Value,ERR_ECode,ERR_Subsys,EV_Id,GPS_Alt,GPS_GCrs,GPS_HDop,GPS_Lat,GPS_Lng,GPS_NSats,GPS_RelAlt,GPS_Spd,GPS_Status,GPS_T,GPS_TimeMS,GPS_VZ,GPS_Week,IMU_AccX,IMU_AccY,IMU_AccZ,IMU_GyrX,IMU_GyrY,IMU_GyrZ,IMU_TimeMS,MAG_MagZ,MAG_OfsX,MODE_Mode,MODE_ThrCrs,MSG_Message,NTUN_DAccX,NTUN_DAccY,NTUN_DPosX,NTUN_DPosY,NTUN_DVelX,NTUN_DVelY,NTUN_PosX,NTUN_PosY,NTUN_TimeMS,NTUN_VelX,NTUN_VelY,PARM_Name,PARM_Value,PM_I2CErr,PM_INAVErr,PM_INSErr,PM_MaxT,PM_NLon,PM_NLoop,PM_PMT,RAD_Fixed,RAD_Noise,RAD_RSSI,RAD_RemNoise,RAD_RemRSSI,RAD_RxErrors,RAD_TxBuf,RCIN_C1,RCIN_C10,RCIN_C11,RCIN_C12,RCIN_C2,RCIN_C3,RCIN_C4,RCIN_C5,RCIN_C6,RCIN_C7,RCIN_C8,RCIN_C9
ATT_DesPitch,1.0,-0.012015471770495136,-0.01683194653115114,-0.0332616215530351,-0.0503293938701969,0.6637103113643911,0.007582065981310073,0.044065584215920724,-0.0153612716301353,-0.050767447942456724,-0.018405470772285316,0.049840559897995344,-0.0003647914635010942,-0.052844350272811244,-0.12316867756152672,-0.060468082759090554,-0.01903379858884434,-0.044796357219021934,-0.020101930505421865,-6.911759808461815e-05,0.006557630100124416,-0.05099658080077484,-0.042756500833071934,0.03779294608772211,-0.04827042585423626,0.039235477828660076,0.04841083000286218,-0.04447872409502338,0.03799322581728829,0.005079874699512594,-0.00022422688720394326,0.004722574700625975,0.021911647119704,0.0038870172060658215,0.0020126552363563073,-0.028960042803753125,-0.05515070167080395,-0.006003982930850154,0.0012062362041543348,0.0012953327100412835,0.01582278101344381,-0.0002643224008202785,-0.05916938333133747,-0.161706373535542,-0.006171088357853221,0.038422649556076036,0.03530480770108245,0.021447616492132587,-0.007661057708769606,0.26219270379678355,-0.001587451376982124,-0.0028939593413485768,0.00035920277390198203,0.09192058219979066,-0.002446749647372555,0.036506128715145074,0.03511069181953549,0.004504657766650695,0.02383492279696221,0.022589422542370858,0.012199114042193971,-0.011699065013115625,-0.002636139770602991,-0.002725862284467795,0.006834252091429387,-0.0026286417437364103,-0.0022779392826069935,-3.5935085601796085e-05,0.015440415943513162,0.043733069873079455,0.0036912489638349227,0.0038982620633804775,-0.009213455782569577,-0.0012090777312522374,-0.005627845677574235,0.013939119637663045,0.0014263616138506922,0.007632067527610263,-0.003659587600538289,0.001131699684926301,0.026006813139165905,0.03498479952488744,-0.004812009529723674,0.025551596024085736,0.02136243041426373,0.03218334535658543,0.03551644402332968,0.0007180103536337239,-0.012857926870368864,-0.003218087514853691,0.005625357748007803,0.001466310319110436,0.5665750606392421,-0.02820034270684341,-0.008394374431724893,0.01612140682995226,-0.0005078838754421786,0.009173584317084444,0.0030435427178924454,-0.004847428022013492
ATT_DesRoll,-0.012015471770495136,1.0,0.002842773024477418,-0.00802080738272658,0.0036821363833556666,-0.00466575271371344,0.5834084557378606,0.006664620436157284,-0.002648273226039309,-0.006068261334097166,0.0005556532352420265,0.003968641281914259,0.008751374282786295,-0.0009342224356647941,0.007416940693638109,-0.0004325667472100597,-0.0036707177205009827,0.001375655723283207,-0.0055520723340669945,-0.0003232575636145136,3.780331143284694e-05,-0.005057803928098887,-0.0007964330338251386,0.003922509736488478,-0.00450552505236409,-0.0012268671384861646,0.00526402950669505,-0.0027733414504935265,0.006087870956016904,0.0030505340080823912,-0.0008798402135177538,-0.00276830624402286,0.002117744669402989,0.00566098437915038,-0.006435636168589724,-0.002104892066502587,0.003559338766977903,0.00827988364207536,0.0029639813442860993,0.011487517199620613,-0.004136238097612274,-0.005605560340279325,0.0016079043119913996,-0.002594788959147258,-0.005331659067849035,0.0051893320809200455,0.008444495566353887,0.0060648305257841465,0.008588852463044751,0.002596365371233662,-0.14322112997091133,0.0040143721959558735,0.12803132073598805,-0.0017605184015439363,0.0497069528200364,0.0025540956194621163,0.010080752172325094,0.004138338204805302,-0.0001799920915872961,0.001653746929968756,0.0010434260165329504,-0.024020486211285923,0.006873152102061502,0.004700021386313937,0.005875809190905329,-0.019156208105620014,0.0009636375921864179,0.00865486031111625,0.002976595569942333,0.005858152514537703,-0.017610760782010536,-0.006872687228438966,0.005178947871133063,-0.000915863758322995,-0.026009774426498787,0.0033015389356779662,-1.9566210045389815e-05,-0.0036696557522072413,-0.006464886995702651,0.00010880277996655763,-0.0033574735438586345,0.004881119061848449,-0.005414841824970398,0.00045639021525346445,0.0008265073365944666,-0.001245835371955946,0.010076645662424237,0.003336996957431585,0.5552488466280142,-0.0027320434983389478,-0.0013289433892275295,-0.011970081201275573,-0.0038301192442987127,-0.0021556854059245453,0.01920062945861372,0.004110503049161613,0.002159167374273064,0.007043114783244874,0.0025451146217485236,-0.0065936525722739584
ATT_DesYaw,-0.01683194653115114,0.002842773024477418,1.0,0.01223593245946443,0.01572440144611618,-0.012149559765395107,0.0020532296465056686,0.0017253655860813033,0.7955672346906784,0.013539868437942046,0.004588031650856999,-0.011563984445222284,0.00261981634805128,0.011960087204280236,0.004632705926021515,0.0077295678911519835,0.0053202692669531435,0.014986731372878202,0.009922813644975994,-0.0006148309052197325,0.0033557454848047864,0.03278242282776718,0.028847143507001304,0.0007260495745936357,0.0340477509544761,0.005373634206537239,-0.008983407164142686,0.027369276892434853,0.002192550868069463,-0.0012683197601867566,0.0028676622550411696,-0.04047560512994133,-0.012072766861770732,-0.009830027822348245,0.003934284174887214,0.01173324960492494,0.010319999304073756,0.10967914917950364,-0.005195843518411074,0.006990376108389103,0.030749716108075812,0.00571474222602866,0.00809043660502706,0.005999641953459563,0.023040876753447917,-0.001249833164857896,-0.004678189844692205,-0.00714919328861764,0.03339753759270258,-0.011042990055669192,-0.002009117354274924,-0.0029479333956511544,0.004273125150245211,-0.0020871196441449905,0.040844440056872384,0.00047030144118864937,-0.02319453835137257,-0.054027123388733105,0.005842464813179765,-0.012571046605286747,0.036564401988923224,-0.0035933441196814514,-0.0491494294233344,0.009254853310342197,0.04256417748495049,-0.011433790737756975,-0.08596585345208943,0.017367792189778488,0.03256188922300519,-0.015929602005766593,-0.008018106503851243,-0.11130610426016155,-0.005200031057299796,0.0032651757636197208,-0.04625730151628534,0.061941832755533124,-0.0014320769584713245,-0.0006181321625513264,0.0005935724408335861,0.0017271144589964854,0.004321741858294285,-0.03617050093061579,-0.005606463545873943,-0.008793019269441293,-0.004601807307152419,-0.009164415344557364,-0.03702673882107456,0.0020988839792994217,-0.0005340116126725209,0.007576605265845317,-0.008763858606423668,-0.005226010306395485,-0.005014003623224128,0.017727117798896058,0.0028898231466870997,0.008924234863781858,0.0008982589853788239,0.01761854978565929,0.004148088351129711,-0.0007042778699797645
ATT_ErrRP,-0.0332616215530351,-0.00802080738272658,0.01223593245946443,1.0,0.3091330543823682,-0.02481640574057034,-0.006352842952501328,0.07115243253452999,0.014583616272487335,0.09002189482261042,-0.010053006767612272,-0.08759039036413964,-0.007351242081181891,0.06574914309020673,0.11368205225349542,0.07182167959173485,-0.0682201170380064,0.021783531548160085,0.011701483079093968,-0.02077487770099243,0.012445111002980373,0.09421360206492367,0.14376845804098384,0.0525692402516725,0.14343447479174892,0.06305570785141802,0.06517143280943866,0.15390346105092506,0.057096556747864784,-0.026194783904708377,-0.13326037643876146,0.008569721704485089,-0.0943004440386408,0.034316676768231476,0.012106664725408679,0.12076650906422404,0.052089812343330655,0.03052612832179484,-0.010962723999071455,0.015021996049921604,0.006148880012704445,0.010869506102605448,0.06522813032945694,0.2453281790676539,0.010562420376288344,0.04951498400633254,0.03210468096852167,0.03196628775659328,0.01387232098203021,-0.019795888416298903,0.010355081160632268,0.02863572865844042,-0.0016673206976689928,0.012603775900397919,0.0014652415086523274,0.0452131119819066,-0.0900615693593959,0.007284305745040113,0.018642676013505638,0.03750134634092531,0.11647891796001111,0.00016431896548608298,-0.0007376878755804525,0.00590159660536937,-0.00032199484837803095,-4.334951756793853e-05,-0.004278595071659336,0.005188983285734901,0.00012686716623875848,0.029230560391111025,-0.0024686189866225624,0.001746971950070523,-0.037165666280417224,0.02204087192020099,0.06666056363534469,0.06502150402774252,-0.0034479441135820874,-0.0360938198988807,0.010726981770335927,0.004433063982884296,-0.031169358615995253,0.06711249376858858,0.007145998560850402,-0.01514590757945231,-0.004613853806538341,-0.0269159943946079,0.0662329765198582,0.00753361213956561,-0.0035786954249468514,-0.004426567011309965,0.008494319820298498,-0.002706316812351759,-0.0257942285151993,0.1189912964776913,-0.029568434188848892,-0.00029482218161594226,-0.003680271581389316,0.011249825897552081,0.006584325351001721,0.002385038251693707
ATT_ErrYaw,-0.0503293938701969,0.0036821363833556666,0.01572440144611618,0.3091330543823682,1.0,-0.03508424079844269,-0.0017248601883998215,0.07312390980321329,0.013567526161281708,0.0800674274084148,0.0031430803938774445,-0.07971550773106673,-0.0015187629651316479,0.06109885395165637,0.07240588609662624,0.06410306021298971,-0.034845168222570944,0.04429787295644087,-0.006652040537353778,-0.01707134267596435,0.0036293063980783143,0.046015621773128394,0.07926554030230254,0.05793936885456791,0.0999708211845324,0.054083522115889474,0.06758711989454215,0.07205233084833434,0.06020665588673811,-0.018831353545650194,-0.08881508324491498,0.02621722827768457,-0.03737998665291553,0.100769909104777,0.03831178681413019,0.09072381961229158,0.060216690293094136,0.023984370407886427,-0.010900316000161848,0.01330314881809998,0.009417273898437528,0.0147254868955719,0.05552060107804919,0.17835391582451354,0.02070080474914084,0.05775090333497652,0.03335158251253767,0.014145010002657476,0.014429754561786001,-0.02136479354526867,0.004138980951272464,0.03454160838352581,-0.0019206276442543938,0.009107887846598654,0.0019515309299610187,0.05366526546921507,-0.07017844561135447,-0.046111380077548586,0.031209579812860423,0.03530918283006764,0.08632173374503094,-0.011881328865570475,-0.010194599095933194,0.013157451041022325,0.0025584224107809985,-0.01896267407495939,-0.00045502043634962727,0.016268218363248887,0.0021028596589805645,0.027378423527872685,-0.02674134749318038,0.009567107365910665,-0.04904094507459342,0.02257114729276437,0.07649905388670407,-0.0017019127901132997,-0.0033247990878290884,-0.024718319638082457,0.015467281582039171,-0.007186105784710163,-0.04723508737716188,0.05359738156042735,0.0028174361032008407,-0.04146170076411396,-0.01754933165096631,-0.06444722195235297,0.06454849555057539,0.0024285045896969932,-0.0021017000587843053,-0.005809143450187988,0.0011374114861949032,0.002253182512519805,-0.033306905031825866,0.06599761347986931,-0.04731309154349804,0.011952312073141314,0.0006822402151409343,0.0063218908397235886,0.002046160387142202,-0.002088760567218316
ATT_Pitch,0.6637103113643911,-0.00466575271371344,-0.012149559765395107,-0.02481640574057034,-0.03508424079844269,1.0,-0.002759783028160421,0.056190901902322475,-0.014004898379837802,-0.03995655314907185,-0.011058149504349973,0.03311230146303133,0.0228923759309229,-0.05213075178675165,-0.12646297485541236,-0.059557636552729845,-0.0168052622951474,-0.04649857870841106,-0.02651139668729303,-0.00017265478057856704,0.0029057242300630764,-0.049104455326474186,-0.047939238438993836,0.051670948266587656,-0.05480572363880481,0.04031603967577172,0.05364431243419962,-0.05365335030814631,0.05455379675078248,0.00784997821609914,0.007183606847412675,0.006637720542672905,0.024775530904254613,-0.005525372944094536,0.0074869030289539135,-0.02166126446825242,-0.056291976408878085,-0.004028976906915052,0.001956617822072809,0.0009875162878835414,0.019032388716212725,0.0009766107992389176,-0.062021901797276124,-0.14902336293602478,0.0002511254929451993,0.04748397137659505,0.03849981073535316,0.017803214531350607,0.0032231701059919834,0.34686387309805156,0.003985921256465007,-0.005771583439269061,0.003565403399288805,-0.022337051822935727,-0.005887379083250394,0.05270298911861644,0.0421278033906231,0.02075908824292779,0.011026364524767827,0.02032249853366402,-0.0009024607279887024,-0.00347909693926977,-0.001978912334468589,-0.0027128502072490583,0.007733051006027496,0.003525802397331365,0.005259820650272862,-0.001580740293351613,0.01776725673402278,0.041915467336344006,0.007946576002817165,0.012656892257531051,-0.003964581852818661,0.0005196028156249467,0.031151573867403838,0.025142832752473806,0.0014239406383144177,0.0030385741592537465,-0.004547192597928844,-0.0005273446067114474,0.028997126298889273,0.033608297243174504,-0.009581909989110482,0.026773036854701796,0.020717889608921472,0.030911394982797047,0.03663448646645805,0.0008155374848228423,-0.0034260001003149337,-0.020684184614237287,-0.007055391428699628,-0.011772745962491359,0.3919306852125442,-0.02954480963390933,-0.016748067259252538,0.00990890536899483,0.000735486024706595,0.006612991299112674,0.006128721283268405,-0.013967000620572313
ATT_Roll,0.007582065981310073,0.5834084557378606,0.0020532296465056686,-0.006352842952501328,-0.0017248601883998215,-0.002759783028160421,1.0,0.016522870748330205,-0.008593170021966969,-0.003052828870404379,0.0004745751279621548,-0.0005973244388145926,0.01536754509392726,-0.003482187343409558,-0.001348084008671385,0.0019441106823629318,-0.011308281953050694,0.0014950962568107602,-0.010321460253495016,-0.0030134945100834484,0.008725125368594367,0.001899420251725755,0.008271396202871614,0.011950317365495318,-0.007376703995275488,0.008426875953088223,0.007000669547006914,0.0035608479494769925,0.011721258622689386,-0.00011212344802636253,-0.0022030348138952186,-0.0066573897290624255,-0.003933653365727447,0.004540494291644178,0.0018109025416493617,0.003353965421132958,0.0034782474669790985,0.007408517141988698,0.007181107033455274,0.0036972169925638737,-0.0008802305296433787,-0.002929703334071757,-0.0011167472603801324,-0.007435228341845544,0.004638582211352974,0.0064630139983064185,0.008367187640250351,0.01018592125369562,0.017191772581443842,0.005444085376289778,-0.22696583203423967,0.0003119783030484264,-0.01635128165935572,0.004292182345864084,0.05682424526757985,-0.0005375887219098051,-0.003160885734422147,-0.0087822795402345,-0.0029054713417552675,-0.00031574959920576393,0.011133962989685262,-0.018545944018513186,0.011569128578043377,0.003186178028892627,0.0005580656453147506,-0.014912179758966106,0.005455117138283178,0.00684219677432748,-0.0036549061957764604,0.010713140309239928,-0.01983713693394862,-0.007861839297749279,0.006954372724394891,0.0027150731125171173,0.033073954738258936,0.0076031946246240215,0.009129606685939344,-0.00437161701946715,-0.0070393178723005935,0.00185903253910119,-0.0017861155060998337,-0.00014737290259278109,-0.0043949920644941924,0.00011197195338349006,0.005178611155649945,0.0015893419302193833,0.011454395611748389,0.0031403357740438153,0.33634966786112624,0.022181237180739406,0.023386752254620592,0.011473141087426024,0.0034301300322161126,-0.0020446584543538544,0.029753586925829648,0.004094502786803426,0.0066026313805761655,0.0027575396406215756,0.0024809317319161844,0.008535404931021465
ATT_TimeMS,0.044065584215920724,0.006664620436157284,0.0017253655860813033,0.07115243253452999,0.07312390980321329,0.056190901902322475,0.016522870748330205,1.0,0.006132798771402288,0.0007355386962361585,-0.06989664834710478,-0.03831548202162279,0.00426283732500466,-0.003231819881891193,-0.013686015436100077,-0.001802200059640619,-0.13018976044493155,-0.0020538050542593038,-0.127452377748429,-0.00930033777123569,0.014713468735788826,-0.05831991275459215,0.10191432084356236,0.9432386394462938,0.005316947140360994,0.897084754569575,0.9298102092028991,0.10426000655955125,0.9643953469097216,0.010283079618233298,-0.5472309714182926,0.015015330631856536,0.04407211701035699,-0.09016767390998738,-0.01048787310244702,0.1115144769973903,-0.04348440454805358,0.05946336935857643,-0.17155578518101797,0.0013758447033062776,0.02455401127826858,0.2531970465245118,-0.007442786960829662,-0.006001537398288519,0.11759064698654609,0.8615678939967252,0.6863838271896197,0.152397870203681,0.06675357259582934,0.056245281744599904,0.036467780371402914,0.061169763767214114,0.005117003995175976,0.014571574325000225,0.01057083964594341,0.8927422778165396,-0.07466147422046363,-0.12044695486933807,0.27228331799146605,0.29408100040696283,0.07543643573866729,0.01892829516221114,0.032053918370063945,0.0011113334663110333,-0.002880647584166767,0.013654069439452342,0.011909276882230308,0.00048634973837487027,-0.003491486339491974,0.8536267527519391,0.012142821665038026,0.014139109088185147,-0.09107373408461766,0.04930875063179036,0.6505728060659243,0.33849603659685107,-0.0014301087432658378,-0.28026832579110433,-0.03189325131929712,-0.03861591010055102,-0.07004454495298021,0.777500871601876,-0.03299202082163289,0.06607930704155895,0.020861623893915073,0.07076192982200477,0.7641205154139835,0.015195099603841232,0.008759247762805157,0.0024561437330636146,0.013401919528991457,0.016796799095624315,0.04528759361610957,-0.016630534287745687,-0.08403121189636842,0.051604636709258654,0.02713952262535488,0.030719307899906824,0.015645654316833284,0.010623011843692364
ATT_Yaw,-0.0153612716301353,-0.002648273226039309,0.7955672346906784,0.014583616272487335,0.013567526161281708,-0.014004898379837802,-0.008593170021966969,0.006132798771402288,1.0,0.01293994407485223,0.003861394784292492,-0.01207008665363688,0.004730155108869382,0.010050796525771353,-0.0007913264733820575,0.0039877874749792794,0.0026369715959809604,0.013931630593491569,0.008932854547068022,-0.00348034981106557,0.004800036078068995,0.009891339314136858,0.002065867591850982,0.004260913435902635,0.01245175349008517,0.025585854542372704,0.013192105556263604,0.005313811500960277,0.007913135019394578,-0.0010266686626776078,0.002918484132271764,-0.00274433199937625,0.002918530518936721,-0.0028754038884171787,0.009129132977063185,0.011113356381691912,0.009876791962816125,0.13105083498299075,-0.002341091739608386,0.007565283882356392,0.03183756589267172,0.00501224866850878,0.0028920191294369503,0.004393310419359372,0.026912392195508523,0.011357193284767421,0.00374555334457626,-0.006551140293415616,0.03308914085787809,-0.016487273762890005,-0.0027474517425527876,0.002364513517653464,0.0014439777417714428,-0.0011331428953514331,0.0016533786192122722,0.012263364751015448,-0.02056399908272197,-0.0490503634148992,0.013459541622238431,0.0033311654555711907,0.040913366965864534,-0.004786795897047736,-0.043395130619749166,0.006080973951549011,0.03638490746395776,-0.009772164313777924,-0.10071518865753747,0.01557448017362023,0.024450866276885596,-0.01494942825252839,-0.007131460942798022,-0.1332861779315498,-0.0015630185804491254,0.0021281487148199544,-0.05287189474331259,0.07332470395609972,0.008344824681294145,-0.006457528539089223,-0.0034185310356711425,-0.0032991294966727416,-0.013041398210067912,-0.03266216963082085,-0.0035496033541940093,-0.007730867238230336,-0.003463294153494081,-0.00852357849340319,-0.03525781257067124,0.0033590706875912704,-4.5174073288001236e-05,0.010417856801897283,-0.0024452508861123818,-0.00341064758282767,-0.0049137187527066245,0.01765148262366514,-0.006222956053121645,0.004790740872904007,-0.0007337131434759002,0.016245588922906843,0.005302802187370513,0.0001929204827341743
BARO_Alt,-0.050767447942456724,-0.006068261334097166,0.013539868437942046,0.09002189482261042,0.0800674274084148,-0.03995655314907185,-0.003052828870404379,0.0007355386962361585,0.01293994407485223,1.0,0.0659047499027955,-0.9086629031233368,0.0034098067349547035,0.8564251816432656,0.09852565264782055,0.9179788466144714,-0.0015904180488920245,0.7198666919205251,0.04877646844373176,0.0478059311827598,0.07639899880652419,0.2399071269185173,0.2831674150762308,0.0036077777011620637,0.228991947569204,0.03591479074505868,-0.016739444827977217,0.2945502913522199,0.0025565927362307104,-0.035601032645305994,-0.20205387681463965,,-0.1967087941970651,0.014862599185978658,-0.01836100117669047,0.26602153537413065,0.6312804836677236,0.04299065475472534,-0.10633903486710711,0.03869350044301992,0.023633176151242333,0.13208102392953763,0.8450078635638216,0.2935771780906509,0.11026703093761167,-0.0009451117029910706,-0.024632332506436004,-0.046529820067991286,0.06563978357442843,-0.043267917783069064,0.008585691664012433,0.03696839228632783,-0.0002698061261104647,0.003376935722239477,-1.0456432413182974e-05,-0.0026587144531763436,0.024964720870830164,-0.05278966643370807,0.1756895478695709,0.055589668263630675,0.1688033635664767,0.017676438908308924,-0.029691893314578447,0.0061619105224578075,-0.004834297764795888,0.002483599242773992,-0.01097042664192194,0.009762075350478808,0.0002593627644403558,-0.14049018794711332,-0.015534457290507734,0.00013024546626288626,-0.01426161900704566,0.020172583632945284,-0.006242034176148254,0.08126369333163984,0.00026699329799574053,-0.09057334705381902,0.05424958313322408,0.03171975373037725,-0.10246777345680927,0.010900559191475062,0.06875182568405912,-0.16662412266492593,-0.03692621281912408,-0.24316194642394842,0.031479198484511695,0.02320209595681737,-0.0042926882623156954,0.006992586800094827,0.06370884386725788,0.04045258826259201,-0.019809099278221092,0.2487952740191306,0.030535005029786316,0.12571776402698426,-0.007984611359362319,0.026858593779820323,0.014733047825860332,0.13195226483692163
