,logname,size MB,duration s
0,568c058bb560505c22dc402c.log,49.262391,6.237591981887817
1,568c0b3a7132fa902e401d31.log,27.327887,2.836224317550659
2,568c0db17132fa902e401d33.log,34.394795,4.864408493041992
3,568c0e8f7132fa902e401d34.log,9.155843,2.937382221221924
4,568c0f4a7132fa902e401d35.log,8.198993,2.47908878326416
5,56d75dd746a12d150ba9724f.log,31.269747,2.1550140380859375
6,56d7e5a546a12d150ba97250.log,18.058522,1.0671489238739014
7,56f69d8d85e739af3b3cb422.log,32.900653,7.363866567611694
8,56f6af5385e739af3b3cb424.log,2.411896,2.3915421962738037
9,56f6af5b85e739af3b3cb425.log,2.812283,1.8510487079620361
10,56f6af6885e739af3b3cb426.log,2.403716,3.088876724243164
11,56f6af7385e739af3b3cb427.log,2.559908,1.880969524383545
12,5757cf85cf913b9b04694227.log,3.371471,1.5817747116088867
13,5757d3dfcf913b9b04694228.log,2.905189,1.580031394958496
14,5757d47fcf913b9b04694229.log,1.930672,0.5715105533599854
15,575ce9d988bc9002549dfb5e.log,0.988887,0.40392065048217773
16,575eaeb288bc9002549dfb5f.log,0.682621,0.0249178409576416
17,575ec43488bc9002549dfb60.log,3.013689,1.153412103652954
18,575ed0b988bc9002549dfb61.log,0.152418,0.13660025596618652
19,575ed0f588bc9002549dfb64.log,0.182343,0.16394400596618652
20,575ed3b888bc9002549dfb65.log,1.178161,0.4857008457183838
21,575ed4c688bc9002549dfb67.log,1.71195,1.0702502727508545
22,575ed63888bc9002549dfb68.log,1.111317,0.46067094802856445
23,575ed70388bc9002549dfb69.log,0.970773,0.3650240898132324
24,575ed83488bc9002549dfb6a.log,0.228064,0.10272574424743652
25,575ed8a988bc9002549dfb6b.log,2.21449,1.1958098411560059
26,575ed92d88bc9002549dfb6c.log,3.027028,1.0452044010162354
27,575ed9da88bc9002549dfb6d.log,2.538405,0.7989838123321533
28,575edf5e88bc9002549dfb6e.log,16.991659,5.62190055847168
29,575edfbe88bc9002549dfb6f.log,4.106321,2.927680015563965
30,575ee03288bc9002549dfb70.log,3.709198,1.238823413848877
31,575ee12f88bc9002549dfb71.log,3.976721,1.4389092922210693
32,575ee14588bc9002549dfb72.log,18.509972,4.275751113891602
33,575ee54488bc9002549dfb73.log,12.841252,3.0737788677215576
34,575f13e888bc9002549dfb74.log,2.0083,1.0747168064117432
35,575f160088bc9002549dfb7a.log,2.713457,0.9638452529907227
36,575f1bbd88bc9002549dfb7b.log,2.761676,0.6602818965911865
37,575fafcd88bc9002549dfb7d.log,4.09714,3.0831968784332275
38,575fb08488bc9002549dfb7e.log,3.742655,2.8795762062072754
39,5760298adafe657a4f640516.log,3.49102,1.0145177841186523
40,57603ef6dafe657a4f640517.log,0.457993,0.12318158149719238
41,5760d88400a4842377dc1b87.log,1.894006,0.3960838317871094
42,576131490f0442ff728a537e.log,1.875202,0.9287087917327881
43,576155840f0442ff728a537f.log,2.054708,1.0754132270812988
44,5761af750f0442ff728a5381.log,1.445346,0.7659683227539062
45,5761b19c0f0442ff728a5382.log,1.712079,0.5911142826080322
46,5761b1d10f0442ff728a5383.log,1.471421,1.2996625900268555
47,5761bd820f0442ff728a5384.log,0.45788,0.11620378494262695
48,5761bdc40f0442ff728a5385.log,0.839761,0.17651152610778809
49,5761be5f0f0442ff728a5386.log,7.662034,1.2881674766540527
50,576225770f0442ff728a5388.log,5.259104,1.9321718215942383
51,5763ad6f0f0442ff728a538c.log,5.071389,2.745619058609009
52,5763b0170f0442ff728a538d.log,2.697324,1.0698652267456055
53,5763b30c0f0442ff728a5390.log,2.698563,1.256148338317871
54,5763ba0af24bc8e55a9a3186.log,1.446028,0.7210566997528076
55,5763bb08f24bc8e55a9a3187.log,1.97164,0.8970997333526611
56,5763f825f24bc8e55a9a3188.log,2.785859,0.7692761421203613
57,57641764f24bc8e55a9a3189.log,0.722716,0.2728731632232666
58,57642f70f24bc8e55a9a318a.log,9.579985,1.691560983657837
59,57642fc2f24bc8e55a9a318b.log,4.387379,1.2679517269134521
60,5764f09bf24bc8e55a9a318d.log,8.721675,1.5574862957000732
61,57651080f24bc8e55a9a318e.log,3.887994,3.4452362060546875
62,57656551f24bc8e55a9a318f.log,1.285105,0.9964272975921631
63,5765664bfca701cc697a5019.log,2.348598,0.9428129196166992
64,576567b8fca701cc697a501a.log,4.88497,1.207087516784668
65,57656f4cfca701cc697a501b.log,5.415752,3.673806667327881
66,57659b17fca701cc697a5024.log,1.792757,0.47358131408691406
67,57659d96fca701cc697a5028.log,0.525084,0.3291339874267578
68,57659df9fca701cc697a5029.log,0.531042,0.38841867446899414
69,57659e94fca701cc697a502b.log,0.278233,0.2250499725341797
70,57659ee6fca701cc697a502c.log,0.921596,1.0376856327056885
71,5765acc88c6cbb0b573fa53e.log,0.424711,0.21407771110534668
72,5765ad5a0eb71abc58aba320.log,0.42471,0.17781758308410645
73,576641460eb71abc58aba321.log,0.806575,0.2274487018585205
74,5766424d4d238b1e3b7d2f68.log,1.789356,0.523155689239502
75,576644f14d238b1e3b7d2f69.log,1.154679,0.36427927017211914
76,576646d14d238b1e3b7d2f6a.log,1.483621,0.4513516426086426
77,57668dc74d238b1e3b7d2f6b.log,3.673325,2.3247900009155273
